Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
Проблема с аккумулятором,Ноутбук НК2-3404 не держит заряд. При отключении от сети сразу выключается. S/N C223098811,Ноутбук,Аккумулятор,C223098811
Не заряжается ноутбук Сила,"Добрый день! Ноутбук модели HK1-1425 (C111124532) перестал заряжаться. Индикатор заряда не горит при подключении блока питания. Пробовали другое ЗУ, результат тот же.",Ноутбук,Блок питания,C111124532
Сервер СР2-5422 // Шум вентиляторов // D252110999,Сильный шум и гул от системы охлаждения сервера. BMC показывает ошибки скорости вращения вентилятора FAN3. Прошу провести диагностику.,Сервер,Вентилятор,D252110999
Нет звука на ноутбуке,"Перестали работать встроенные динамики на ноутбуке НК2-1404 v2. В системе устройство определяется, драйверы переустанавливал. S/N C223101445.",Ноутбук,Динамики,C223101445
СХД-48 // Вышел из строя диск // D261033214,В системе хранения данных вышел из строя диск в слоте 7. Горит красный индикатор. Требуется срочная замена.,СХД,Диск,D261033214
Не работает разъем для наушников,Добрый день. На ноутбуке HK1-1427 (C111120876) не работает аудио-разъем 3.5мм (jack). Наушники не определяются при подключении.,Ноутбук,Jack,C111120876
Камера не определяется в системе,"На ноутбуке Сила НК2-3404, серийный номер C223091234, перестала работать встроенная веб-камера. В диспетчере устройств ее нет.",Ноутбук,Камера,C223091234
Залипает клавиша на клавиатуре,Прошу провести ремонт или замену клавиатуры на ноутбуке HK2-1404. Залипает клавиша 'Shift'. Серийник C223015567.,Ноутбук,Клавиатура,C223015567
Вопрос по обновлению BIOS,Здравствуйте! Необходима консультация по процедуре обновления BIOS на сервере СР2-5422 (D252110088). Где найти актуальную прошивку и инструкцию?,Сервер,Консультация,D252110088
Повреждение корпуса ноутбука,"Ноутбук НК2-1404 v2, SN: C223100412. Треснула рамка вокруг экрана и повреждена петля. Требуется замена корпусных деталей.",Ноутбук,Корпус,C223100412
Ноутбук не включается // C223095555,"Добрый день! Ноутбук СИЛА НК2-3404 (C223095555) не реагирует на кнопку включения. Индикации нет. Блок питания проверен, исправен.",Ноутбук,Материнская плата,C223095555
Артефакты на экране // C112040077,На экране ноутбука HK1-1425 появились цветные полосы и артефакты. Проблема проявляется даже в BIOS.,Ноутбук,Матрица,C112040077
Сервер СР2-6412 // Ошибка памяти // D253010203,"Сервер ушел в перезагрузку, в логах BMC ошибка памяти на планке в слоте A2. Прошу заменить модуль оперативной памяти.",Сервер,Оперативная память,D253010203
Синий экран на ноутбуке,Ноутбук НК2-1404 (C222091888) периодически показывает синий экран (BSOD) с ошибкой KERNEL_DATA_INPAGE_ERROR. Проверка диска ошибок не выявила.,Ноутбук,Программное обеспечение,C222091888
Неисправность сервера СИЛА // D252030045,Сервер СР2-5422 не загружается. Пост-коды останавливаются на инициализации оборудования. Требуется диагностика на месте.,Сервер,Сервер,D252030045
Сервер СР2-5422 // Нет линка SFP // D252110031,Пропал сетевой линк на порту SFP+. Замена патч-корда не помогла. Установка этого же модуля в другой порт также не дала результата. Требуется замена SFP-модуля.,Сервер,SFP модуль,D252110031
Слабый сигнал Wi-Fi,"Ноутбук Сила HK1-1427 (C111120915) очень плохо ловит Wi-Fi. Другие устройства в том же месте показывают полный сигнал. Возможно, проблема с антенной.",Ноутбук,Wi-fi антенна,C111120915
Не работает Wi-Fi модуль,"На ноутбуке НК2-3404 (C223090789) пропал Wi-Fi. Адаптер не виден в системе, переустановка драйверов не помогает.",Ноутбук,Wi-fi модуль,C223090789
Аккумулятор вздулся,"Добрый день. Вздулся аккумулятор на ноутбуке НК2-1404 v2 (C223102113), корпус деформирован. Требуется замена АКБ.",Ноутбук,Аккумулятор,C223102113
Нет зарядки // C223010245,Ноутбук sila HK2-1404 c223010245. Нет индикации заряда.,Ноутбук,Блок питания,C223010245
Вентилятор трещит,Вентилятор в ноутбуке НК2-1404 (C223012550) начал сильно трещать при нагрузке.,Ноутбук,Вентилятор,C223012550
